COST_CENTER,ALLOCATION_CC,DIVISION_OFFSET
0319,A319,B262
0321,A321,B262
0322,A322,B262
0324,A324,B265
0326,A326,B262
0327,A327,B262
0328,A328,B262
0329,A329,B265
0330,A330,B262
0331,A331,B262
0332,A332,B265
0339,A339,B265
0340,A340,B264
0341,A341,B264
0342,A342,B264
0343,A343,B264
0344,A344,B264
0345,A345,B261
0346,A346,B261
0347,A347,B264
0348,A348,B261
0349,A349,B264
0350,A350,B265
0351,A351,B262
0352,A352,B264
0353,A353,B262
0355,A355,B264
0356,A356,B262
0358,A358,B263
0359,A359,B263
0360,A360,B263
0361,A361,B263
0363,A363,B263
0364,A364,B263
0366,A366,B263
0367,A367,B263
0368,A368,B263
0369,A369,B263
0370,A370,B263
0371,A371,B263
0372,A372,B263
0373,A373,B263
0380,A380,B263
0381,A381,B263
0383,A383,B263
0385,A385,B263
0386,A386,B263
0387,A387,B263
0388,A388,B263
0396,A396,B262
0399,A399,B263
0402,A402,B262
0403,A403,B262
0404,A404,B262
0405,A405,B262
0407,A407,B262
0408,A408,B262
0409,A409,B262
0411,A411,B261
0412,A412,B261
0413,A413,B261
0414,A414,B261
0415,A415,B261
0418,A418,B265
0420,A420,B262
0423,A423,B262
0427,A427,B262
0428,A428,B263
0430,A430,B262
0433,A433,B262
0435,A435,B265
0437,A437,B281
0438,A438,B262
0439,A439,B264
0440,A440,B262
0445,A445,B264
0446,A446,B262
0450,A450,B262
0456,A456,B264
0457,A457,B261
0462,A462,B263
0465,A465,B265
0467,A467,B261
0468,A468,B265
0474,A474,B262
0482,A482,B264
0485,A485,B285
0487,A487,B261
0495,A254,B262
0496,A496,B262
0510,A510,B264
0517,A517,B261
0520,A520,B264
0521,A521,B261
0522,A522,B262
0524,A524,B264
0525,A525,B264
0526,A526,B264
0527,A527,B264
0533,A533,B263
0536,A536,B263
0541,A541,B261
0542,A542,B261
0543,A543,B261
0544,A544,B261
0545,A545,B261
0546,A546,B261
0547,A547,B261
0548,A548,B261
0549,A549,B261
0550,A550,B261
0551,A551,B261
0553,A553,B261
0555,A555,B261
0561,A561,B261
0562,A562,B261
0563,A563,B261
0564,A564,B263
0565,A565,B263
0566,A566,B263
0568,A568,B264
0569,A569,B264
0575,A575,B264
0577,A577,B281
0579,A579,B261
0580,A580,B285
0581,A581,B261
0582,A582,B261
0583,A583,B261
0584,A584,B261
0585,A585,B261
0586,A586,B261
0587,A587,B285
0588,A588,B285
0589,A589,B261
0590,A590,B261
0595,A595,B262
0599,A599,B265
0601,A601,B264
0604,A604,B264
0606,A606,B263
0607,A607,B264
0608,A608,B263
0609,A609,B264
0610,A610,B264
0611,A611,B264
0612,A612,B264
0613,A613,B264
0615,A615,B265
0622,A622,B261
0623,A623,B262
0625,A625,B261
0627,A627,B261
0629,A629,B262
0662,A662,B262
0667,A667,B262
0675,A675,B265
0678,A678,B262
0689,A689,B265
0698,A698,B285
0749,A749,B265
0766,A766,B261
0768,A768,B285
0775,A775,B265
0776,A776,B265
0787,A787,B262
0789,A254,B262
0841,A841,B265
0842,A842,B262
0944,A944,B264
0945,A945,B264
0955,A955,B263
0959,A959,B262
