STORE_NO,COST_CENTER_NAME,POS_TERM_NO,STATUS_CODE,DAD,MAX_TRAN_DT,TRAN_NO_LAST
1050,COLUMBUS-GROVEPORT,13998,1,'01-01-05,9-May-18,26799
1051,FRANKLIN,10904,1,'02-08-19,1-Aug-18,67406
1051,FRANKLIN,12777,1,'02-08-19,1-Aug-18,58338
1052,PICKERINGTON,20525,4,'01-01-05,1-Aug-18,31270
1052,PICKERINGTON,20540,4,'01-01-05,1-Aug-18,26964
1053,FLINT-SOUTH DORT COMMERCIAL,11374,1,'01-01-17,1-Aug-18,23990
1053,FLINT-SOUTH DORT COMMERCIAL,13341,1,'01-01-17,1-Aug-18,51816
1054,PENFIELD,10611,1,'02-01-16,1-Aug-18,28656
1054,PENFIELD,13665,1,'02-01-16,1-Aug-18,69208
1055,BIG RAPIDS,11376,1,'01-01-15,1-Aug-18,91075
1055,BIG RAPIDS,13728,1,'01-01-15,1-Aug-18,49503
1056,FLORENCE,11926,1,'01-06-21,1-Aug-18,42849
1056,FLORENCE,13326,1,'01-06-21,1-Aug-18,46643
1057,ELIZABETHTOWN,11089,1,'01-06-13,1-Aug-18,84491
1057,ELIZABETHTOWN,13151,1,'01-06-13,1-Aug-18,3539
1058,RANDALL PARK MALL,10078,1,'01-01-06,1-Aug-18,92605
1058,RANDALL PARK MALL,12403,1,'01-01-06,1-Aug-18,5712
1059,COLUMBUS-FIFTH AVE,10010,1,'01-01-05,1-Aug-18,62742
1059,COLUMBUS-FIFTH AVE,13149,1,'01-01-05,1-Aug-18,94714
1060,BIDDULPH,10079,1,'01-01-06,1-Aug-18,46971
1060,BIDDULPH,13087,1,'01-01-06,1-Aug-18,35396
1061,PITTSBURGH-PENN HILLS,10887,1,'02-08-19,1-Aug-18,24180
1062,CINCINNATI,11757,1,'01-06-21,1-Aug-18,58190
1062,CINCINNATI,15320,1,'01-06-21,1-Aug-18,66212
1063,TOLEDO-MAUMEE,10702,3,'01-01-19,1-Aug-18,9778
1063,TOLEDO-MAUMEE,14695,3,'01-01-19,1-Aug-18,57696
1065,TOLEDO-SYLVANIA,11869,1,'01-01-19,1-Aug-18,78118
