CREDIT_HIERARCHY,4,010121,010121009,010121009705949,20160824,,CENTRAL PENNSYLVANIA,009
CREDIT_HIERARCHY,5,010121009,010121009701103,,20160824,,ALTOONA
CREDIT_HIERARCHY,5,010121009,010121009701126,,20160824,,BEDFORD
CREDIT_HIERARCHY,5,010121009,010121009701230,,20160824,,LITITZ
CREDIT_HIERARCHY,5,010121009,010121009701850,,20160824,,LANCASTER-EAST
CREDIT_HIERARCHY,5,010121009,010121009703316,,20160824,,CAMP HILL
CREDIT_HIERARCHY,5,010121009,010121009703318,,20160824,,YORK
CREDIT_HIERARCHY,5,010121009,010121009703323,,20160824,,HARRISBURG-WALNUT
CREDIT_HIERARCHY,5,010121009,010121009703334,,20160824,,LANCASTER
CREDIT_HIERARCHY,5,010121009,010121009703342,,20160824,,PALMYRA
CREDIT_HIERARCHY,5,010121009,010121009703395,,20160824,,12/08 DUR-HANOVER
CREDIT_HIERARCHY,5,010121009,010121009703724,,20160824,,LANCASTER
CREDIT_HIERARCHY,5,010121009,010121009703731,,20160824,,03/09 MAB-CARLISLE
CREDIT_HIERARCHY,5,010121009,010121009703761,,20160824,,12/09 MAB-YORK
CREDIT_HIERARCHY,5,010121009,010121009703789,,20160824,,MECHANICSBURG-CARLISLE PIKE
CREDIT_HIERARCHY,5,010121009,010121009703808,,20160824,,STATE COLLEGE-SOUTH
CREDIT_HIERARCHY,5,010121009,010121009703930,,20160824,,11/08 DUR-CHAMBERSBURG
CREDIT_HIERARCHY,5,010121009,010121009703931,,20160824,,CARLISLE
CREDIT_HIERARCHY,5,010121009,010121009703994,,20160824,,ELIZABETHTOWN
CREDIT_HIERARCHY,5,010121009,010121009705020,,20160824,,LANCASTER-PLAZA
CREDIT_HIERARCHY,5,010121009,010121009705069,,20160824,,HARRISBURG
CREDIT_HIERARCHY,5,010121009,010121009705126,,20160824,,LANCASTER-MAIN
CREDIT_HIERARCHY,5,010121009,010121009705161,,20160824,,CUMBERLAND
CREDIT_HIERARCHY,5,010121009,010121009705162,,20160824,,FROSTBURG
CREDIT_HIERARCHY,5,010121009,010121009705165,,20160824,,ENOLA
CREDIT_HIERARCHY,5,010121009,010121009705167,,20160824,,MECHANICSBURG
CREDIT_HIERARCHY,5,010121009,010121009705188,,20160824,,YORK
CREDIT_HIERARCHY,5,010121009,010121009705194,,20160824,,HERSHEY
CREDIT_HIERARCHY,5,010121009,010121009705208,,20160824,,STATE COLLEGE
CREDIT_HIERARCHY,5,010121009,010121009705295,,20160824,,GETTYSBURG-STRABAN
CREDIT_HIERARCHY,5,010121009,010121009705373,,20160824,,WEST YORK
CREDIT_HIERARCHY,5,010121009,010121009705511,,20160824,,LEMOYNE
CREDIT_HIERARCHY,5,010121009,010121009705799,,20160824,,LEBANON
CREDIT_HIERARCHY,5,010121009,010121009705869,,20160824,,LEWISTOWN
CREDIT_HIERARCHY,5,010121009,010121009705871,,20160824,,CHAMBERSBURG
CREDIT_HIERARCHY,5,010121009,010121009705888,,20160824,,HANOVER
CREDIT_HIERARCHY,5,010121009,010121009705897,,20160824,,HARRISBURG-MAIN
CREDIT_HIERARCHY,5,010121009,010121009705931,,20160824,,WAYNESBORO
CREDIT_HIERARCHY,5,010121009,010121009705942,,20160824,,EPHRATA
CREDIT_HIERARCHY,5,010121009,010121009705944,,20160824,,HUNTINGDON
CREDIT_HIERARCHY,5,010121009,010121009705949,,20160824,,CARLISLE
CREDIT_HIERARCHY,4,010121,010121012,010121012701044,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701051,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701061,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701069,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701079,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701084,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701089,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701092,20160824,,PITTSBURGH,012
